firstName,lastName,movieTitle,releaseYear,iteration,categoryName,isWinner
Sean,Penn,Dead Man Walking,1995,68th,Best Actor in a Leading Role,no
Massimo,Troisi,Il Postino: The Postman,1994,68th,Best Actor in a Leading Role,no
Geoffrey,Rush,Shine,1996,69th,Best Actor in a Leading Role,yes
Tom,Cruise,Jerry Maguire,1996,69th,Best Actor in a Leading Role,no
Ralph,Fiennes,The English Patient,1996,69th,Best Actor in a Leading Role,no
Woody,Harrelson,The People vs. Larry Flynt,1996,69th,Best Actor in a Leading Role,no
Billy,Bob Thornton,Sling Blade,1996,69th,Best Actor in a Leading Role,no
Jack,Nicholson,As Good as It Gets,1997,70th,Best Actor in a Leading Role,yes
Matt,Damon,Good Will Hunting,1997,70th,Best Actor in a Leading Role,no
Robert,Duvall,The Apostle,1997,70th,Best Actor in a Leading Role,no
Peter,Fonda,Ulee's Gold,1997,70th,Best Actor in a Leading Role,no
Dustin,Hoffman,Wag the Dog,1997,70th,Best Actor in a Leading Role,no
Roberto,Benigni,Life Is Beautiful,1997,71st,Best Actor in a Leading Role,yes
Tom,Hanks,Saving Private Ryan,1998,71st,Best Actor in a Leading Role,no
Ian,McKellen,Gods and Monsters,1998,71st,Best Actor in a Leading Role,no
Nick,Nolte,Affliction,1997,71st,Best Actor in a Leading Role,no
Edward,Norton,American History X,1998,71st,Best Actor in a Leading Role,no
Kevin,Spacey,American Beauty,1999,72nd,Best Actor in a Leading Role,yes
Russell,Crowe,The Insider,1999,72nd,Best Actor in a Leading Role,no
Richard,Farnsworth,The Straight Story,1999,72nd,Best Actor in a Leading Role,no
Sean,Penn,Sweet and Lowdown,1999,72nd,Best Actor in a Leading Role,no
Denzel,Washington,The Hurricane,1999,72nd,Best Actor in a Leading Role,no
Russell,Crowe,Gladiator,2000,73rd,Best Actor in a Leading Role,yes
Javier,Bardem,Before Night Falls,2000,73rd,Best Actor in a Leading Role,no
Tom,Hanks,Cast Away,2000,73rd,Best Actor in a Leading Role,no
Ed,Harris,Pollock,2000,73rd,Best Actor in a Leading Role,no
Geoffrey,Rush,Quills,2000,73rd,Best Actor in a Leading Role,no
Denzel,Washington,Training Day,2001,74th,Best Actor in a Leading Role,yes
