firstName,lastName,movieTitle,releaseYear
Meryl,Streep,The Post,2017
Olivia,Colman,The Favourite,2018
Yalitza,Aparicio,Roma,2018
Glenn,Close,The Wife,2018
Lady,Gaga,A Star Is Born,2018
Melissa,McCarthy,Can You Ever Forgive Me?,2018
Renée,Zellweger,Judy,2019
Cynthia,Erivo,Harriet,2019
Scarlett,Johansson,Marriage Story,2019
Saoirse,Ronan,Little Women,2019
Charlize,Theron,Bombshell,2019
Frances,McDormand,Nomadland,2020
Viola,Davis,Ma Rainey's Black Bottom,2020
Andra,Day,The United States vs. Billie Holiday,2020
Vanessa,Kirby,Pieces of a Woman,2020
Carey,Mulligan,Promising Young Woman,2020
Jessica,Chastain,The Eyes of Tammy Faye,2021
Olivia,Colman,The Lost Daughter,2021
Penélope,Cruz,Parallel Mothers,2021
Nicole,Kidman,Being the Ricardos,2021
Kristen,Stewart,Spencer,2021
Michelle,Yeoh,Everything Everywhere All at Once,2022
Cate,Blanchett,Tár,2022
Ana,de Armas,Blonde,2022
Andrea,Riseborough,To Leslie,2022
Michelle,Williams,The Fabelmans,2022
Emma,Stone,Poor Things,2023
Annette,Bening,Nyad,2023
Lily,Gladstone,Killers of the Flower Moon,2023
Sandra,Hüller,Anatomy of a Fall,2023
Carey,Mulligan,Maestro,2023
Mikey,Madison,Anora,2024
Cynthia,Erivo,Wicked,2024
Karla,Sofía Gascón,Emilia Pérez,2024
Demi,Moore,The Substance,2024
Fernanda,Torres,I'm Still Here,2024
